exchangedate,r030,cc,txt,enname,rate,units,rate_per_unit,group,calcdate
01.01.2021,978,EUR,Євро,Euro,34.7396,1,34.7396,1,30.12.2020
02.01.2021,978,EUR,Євро,Euro,34.7396,1,34.7396,1,30.12.2020
03.01.2021,978,EUR,Євро,Euro,34.7396,1,34.7396,1,30.12.2020
04.01.2021,978,EUR,Євро,Euro,34.7396,1,34.7396,1,30.12.2020
05.01.2021,978,EUR,Євро,Euro,34.9389,1,34.9389,1,04.01.2021
06.01.2021,978,EUR,Євро,Euro,34.846,1,34.846,1,05.01.2021
07.01.2021,978,EUR,Євро,Euro,34.846,1,34.846,1,05.01.2021
08.01.2021,978,EUR,Євро,Euro,34.846,1,34.846,1,05.01.2021
09.01.2021,978,EUR,Євро,Euro,34.846,1,34.846,1,05.01.2021
10.01.2021,978,EUR,Євро,Euro,34.846,1,34.846,1,05.01.2021
11.01.2021,978,EUR,Євро,Euro,34.909,1,34.909,1,06.01.2021
12.01.2021,978,EUR,Євро,Euro,34.2817,1,34.2817,1,11.01.2021
13.01.2021,978,EUR,Євро,Euro,34.0787,1,34.0787,1,12.01.2021
14.01.2021,978,EUR,Євро,Euro,34.0373,1,34.0373,1,13.01.2021
15.01.2021,978,EUR,Євро,Euro,33.9888,1,33.9888,1,14.01.2021
16.01.2021,978,EUR,Євро,Euro,34.0121,1,34.0121,1,15.01.2021
17.01.2021,978,EUR,Євро,Euro,34.0121,1,34.0121,1,15.01.2021
18.01.2021,978,EUR,Євро,Euro,34.0121,1,34.0121,1,16.01.2021
19.01.2021,978,EUR,Євро,Euro,34.0158,1,34.0158,1,18.01.2021
20.01.2021,978,EUR,Євро,Euro,34.1555,1,34.1555,1,19.01.2021
21.01.2021,978,EUR,Євро,Euro,34.1488,1,34.1488,1,20.01.2021
22.01.2021,978,EUR,Євро,Euro,34.3651,1,34.3651,1,21.01.2021
23.01.2021,978,EUR,Євро,Euro,34.3651,1,34.3651,1,21.01.2021
24.01.2021,978,EUR,Євро,Euro,34.3651,1,34.3651,1,21.01.2021
25.01.2021,978,EUR,Євро,Euro,34.2526,1,34.2526,1,22.01.2021
26.01.2021,978,EUR,Євро,Euro,34.2265,1,34.2265,1,25.01.2021
27.01.2021,978,EUR,Євро,Euro,34.1897,1,34.1897,1,26.01.2021
28.01.2021,978,EUR,Євро,Euro,34.1207,1,34.1207,1,27.01.2021
29.01.2021,978,EUR,Євро,Euro,34.1035,1,34.1035,1,28.01.2021
30.01.2021,978,EUR,Євро,Euro,34.1035,1,34.1035,1,28.01.2021
31.01.2021,978,EUR,Євро,Euro,34.1035,1,34.1035,1,28.01.2021
01.02.2021,978,EUR,Євро,Euro,34.157,1,34.157,1,29.01.2021
02.02.2021,978,EUR,Євро,Euro,33.9039,1,33.9039,1,01.02.2021
03.02.2021,978,EUR,Євро,Euro,33.7913,1,33.7913,1,02.02.2021
04.02.2021,978,EUR,Євро,Euro,33.6374,1,33.6374,1,03.02.2021
05.02.2021,978,EUR,Євро,Euro,33.4509,1,33.4509,1,04.02.2021
06.02.2021,978,EUR,Євро,Euro,33.4509,1,33.4509,1,04.02.2021
07.02.2021,978,EUR,Євро,Euro,33.4509,1,33.4509,1,04.02.2021
08.02.2021,978,EUR,Євро,Euro,33.2823,1,33.2823,1,05.02.2021
09.02.2021,978,EUR,Євро,Euro,33.2604,1,33.2604,1,08.02.2021
10.02.2021,978,EUR,Євро,Euro,33.4406,1,33.4406,1,09.02.2021
11.02.2021,978,EUR,Євро,Euro,33.6655,1,33.6655,1,10.02.2021
12.02.2021,978,EUR,Євро,Euro,33.8111,1,33.8111,1,11.02.2021
13.02.2021,978,EUR,Євро,Euro,33.8111,1,33.8111,1,11.02.2021
14.02.2021,978,EUR,Євро,Euro,33.8111,1,33.8111,1,11.02.2021
15.02.2021,978,EUR,Євро,Euro,33.6801,1,33.6801,1,12.02.2021
16.02.2021,978,EUR,Євро,Euro,33.9297,1,33.9297,1,15.02.2021
17.02.2021,978,EUR,Євро,Euro,33.7708,1,33.7708,1,16.02.2021
18.02.2021,978,EUR,Євро,Euro,33.6422,1,33.6422,1,17.02.2021
19.02.2021,978,EUR,Євро,Euro,33.6478,1,33.6478,1,18.02.2021
20.02.2021,978,EUR,Євро,Euro,33.6478,1,33.6478,1,18.02.2021
21.02.2021,978,EUR,Євро,Euro,33.6478,1,33.6478,1,18.02.2021
22.02.2021,978,EUR,Євро,Euro,33.7768,1,33.7768,1,19.02.2021
23.02.2021,978,EUR,Євро,Euro,33.8866,1,33.8866,1,22.02.2021
24.02.2021,978,EUR,Євро,Euro,33.883,1,33.883,1,23.02.2021
25.02.2021,978,EUR,Євро,Euro,33.9289,1,33.9289,1,24.02.2021
26.02.2021,978,EUR,Євро,Euro,34.1459,1,34.1459,1,25.02.2021
27.02.2021,978,EUR,Євро,Euro,34.1459,1,34.1459,1,25.02.2021
28.02.2021,978,EUR,Євро,Euro,34.1459,1,34.1459,1,25.02.2021
01.03.2021,978,EUR,Євро,Euro,33.8449,1,33.8449,1,26.02.2021
02.03.2021,978,EUR,Євро,Euro,33.717,1,33.717,1,01.03.2021
03.03.2021,978,EUR,Євро,Euro,33.6006,1,33.6006,1,02.03.2021
04.03.2021,978,EUR,Євро,Euro,33.5565,1,33.5565,1,03.03.2021
05.03.2021,978,EUR,Євро,Euro,33.4062,1,33.4062,1,04.03.2021
06.03.2021,978,EUR,Євро,Euro,33.4062,1,33.4062,1,04.03.2021
07.03.2021,978,EUR,Євро,Euro,33.4062,1,33.4062,1,04.03.2021
08.03.2021,978,EUR,Євро,Euro,33.4062,1,33.4062,1,04.03.2021
09.03.2021,978,EUR,Євро,Euro,33.075,1,33.075,1,05.03.2021
10.03.2021,978,EUR,Євро,Euro,32.9741,1,32.9741,1,09.03.2021
11.03.2021,978,EUR,Євро,Euro,32.9317,1,32.9317,1,10.03.2021
12.03.2021,978,EUR,Євро,Euro,33.1748,1,33.1748,1,11.03.2021
13.03.2021,978,EUR,Євро,Euro,33.1748,1,33.1748,1,11.03.2021
14.03.2021,978,EUR,Євро,Euro,33.1748,1,33.1748,1,11.03.2021
15.03.2021,978,EUR,Євро,Euro,33.0839,1,33.0839,1,12.03.2021
16.03.2021,978,EUR,Євро,Euro,32.9523,1,32.9523,1,15.03.2021
17.03.2021,978,EUR,Євро,Euro,32.9632,1,32.9632,1,16.03.2021
18.03.2021,978,EUR,Євро,Euro,32.9853,1,32.9853,1,17.03.2021
19.03.2021,978,EUR,Євро,Euro,32.9785,1,32.9785,1,18.03.2021
20.03.2021,978,EUR,Євро,Euro,32.9785,1,32.9785,1,18.03.2021
21.03.2021,978,EUR,Євро,Euro,32.9785,1,32.9785,1,18.03.2021
22.03.2021,978,EUR,Євро,Euro,32.9502,1,32.9502,1,19.03.2021
23.03.2021,978,EUR,Євро,Euro,33.0072,1,33.0072,1,22.03.2021
24.03.2021,978,EUR,Євро,Euro,32.9329,1,32.9329,1,23.03.2021
25.03.2021,978,EUR,Євро,Euro,32.9389,1,32.9389,1,24.03.2021
26.03.2021,978,EUR,Євро,Euro,33.0337,1,33.0337,1,25.03.2021
27.03.2021,978,EUR,Євро,Euro,33.0337,1,33.0337,1,25.03.2021
28.03.2021,978,EUR,Євро,Euro,33.0337,1,33.0337,1,25.03.2021
29.03.2021,978,EUR,Євро,Euro,32.9532,1,32.9532,1,26.03.2021
30.03.2021,978,EUR,Євро,Euro,32.9661,1,32.9661,1,29.03.2021
31.03.2021,978,EUR,Євро,Euro,32.7233,1,32.7233,1,30.03.2021
01.04.2021,978,EUR,Євро,Euro,32.629,1,32.629,1,31.03.2021
02.04.2021,978,EUR,Євро,Euro,32.7003,1,32.7003,1,01.04.2021
03.04.2021,978,EUR,Євро,Euro,32.7003,1,32.7003,1,01.04.2021
04.04.2021,978,EUR,Євро,Euro,32.7003,1,32.7003,1,01.04.2021
05.04.2021,978,EUR,Євро,Euro,32.8365,1,32.8365,1,02.04.2021
06.04.2021,978,EUR,Євро,Euro,32.8632,1,32.8632,1,05.04.2021
07.04.2021,978,EUR,Євро,Euro,32.898,1,32.898,1,06.04.2021
08.04.2021,978,EUR,Євро,Euro,33.1388,1,33.1388,1,07.04.2021
09.04.2021,978,EUR,Євро,Euro,33.2266,1,33.2266,1,08.04.2021
10.04.2021,978,EUR,Євро,Euro,33.2266,1,33.2266,1,08.04.2021
11.04.2021,978,EUR,Євро,Euro,33.2266,1,33.2266,1,08.04.2021
